name,body_type,price,url,image_count,scraped_at
(View On Road Price),Passenger Car,Rs.10.73 - 20.20 Lakh**Ex-showroom PriceinNew Delhi,https://www.cardekho.com/hyundai/creta/price-in-new-delhi,1,2025-09-28T07:30:55.792542
Hyundai Venue,SUV,Rs.7.26 - 12.46 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/hyundai/venue,5,2025-09-28T07:31:04.684163
(View On Road Price),Passenger Car,Rs.7.26 - 12.46 Lakh**Ex-showroom PriceinNew Delhi,https://www.cardekho.com/hyundai/venue/price-in-new-delhi,1,2025-09-28T07:31:16.132466
Hyundai i20,Hatchback,Rs.6.87 - 10.43 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/hyundai/i20,5,2025-09-28T07:31:22.599533
(View On Road Price),Passenger Car,Rs.6.87 - 10.43 Lakh**Ex-showroom PriceinNew Delhi,https://www.cardekho.com/hyundai/i20/price-in-new-delhi,1,2025-09-28T07:31:33.119887
Hyundai Exter,Passenger Car,Rs.5.49 - 9.61 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/hyundai/exter,5,2025-09-28T07:31:40.439193
(View On Road Price),Passenger Car,Rs.5.49 - 9.61 Lakh**Ex-showroom PriceinNew Delhi,https://www.cardekho.com/hyundai/exter/price-in-new-delhi,1,2025-09-28T07:31:50.773486
Hyundai Verna,Sedan,Rs.10.69 - 16.98 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/hyundai/verna,5,2025-09-28T07:31:58.920902
(View On Road Price),Passenger Car,Rs.10.69 - 16.98 Lakh**Ex-showroom PriceinNew Delhi,https://www.cardekho.com/hyundai/verna/price-in-new-delhi,1,2025-09-28T07:32:10.072586
Maruti Baleno,Hatchback,Rs.5.99 - 9.10 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/carmodels/Maruti/Maruti_Baleno,5,2025-09-28T07:32:26.606580
Tata Tiago,Hatchback,Rs.4.57 - 7.82 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/carmodels/Tata/Tata_Tiago,5,2025-09-28T07:32:32.693390
Tata Safari,SUV,Rs.14.66 - 25.96 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/carmodels/Tata/Tata_Safari,5,2025-09-28T07:32:43.565121
Tata Sierra,Passenger Car,Rs.15 - 25 Lakh*Estimated Price in India,https://www.cardekho.com/carmodels/Tata/Tata_Sierra,2,2025-09-28T07:32:52.103566
Tata Safari 2021-2023,SUV,Rs.15.65 Lakh - 25.21 Lakh*,https://www.cardekho.com/carmodels/Tata/Tata_Safari_2021-2023,3,2025-09-28T07:33:00.519985
Maruti Swift,Hatchback,Rs.5.79 - 8.80 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/swift,5,2025-09-28T07:33:10.678455
Maruti FRONX,Passenger Car,Rs.6.85 - 11.98 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/fronx,5,2025-09-28T07:33:17.372065
Maruti Alto K10,Passenger Car,Rs.3.70 - 5.45 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/alto-k10,5,2025-09-28T07:33:24.430083
Tata Punch EV,Hatchback,Rs.9.99 - 14.44 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/tata/punch-ev,5,2025-09-28T07:33:32.434113
Tata Harrier EV,SUV,Rs.21.49 - 30.23 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/tata/harrier-ev,5,2025-09-28T07:33:45.589298
Tata Nexon,Passenger Car,Rs.7.32 - 14.05 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/tata/nexon,5,2025-09-28T07:33:57.361907
Tata Punch,Hatchback,Rs.5.50 - 9.30 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/tata/punch,5,2025-09-28T07:34:05.637463
(View On Road Price),Passenger Car,Rs.7.32 - 14.05 Lakh**Ex-showroom PriceinNew Delhi,https://www.cardekho.com/tata/nexon/price-in-new-delhi,1,2025-09-28T07:34:15.108942
(View On Road Price),Passenger Car,Rs.5.50 - 9.30 Lakh**Ex-showroom PriceinNew Delhi,https://www.cardekho.com/tata/punch/price-in-new-delhi,1,2025-09-28T07:34:21.078898
Tata Altroz,Passenger Car,Rs.6.30 - 10.51 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/tata/altroz,5,2025-09-28T07:34:28.069793
Maruti Baleno,Hatchback,Rs.5.99 - 9.10 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/carmodels/Maruti/Maruti_Baleno,5,2025-09-28T07:34:45.225346
Maruti Swift,Hatchback,Rs.5.79 - 8.80 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/swift,5,2025-09-28T07:34:52.920714
Maruti FRONX,Passenger Car,Rs.6.85 - 11.98 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/fronx,5,2025-09-28T07:34:58.981393
Maruti Alto K10,Passenger Car,Rs.3.70 - 5.45 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/alto-k10,5,2025-09-28T07:35:05.288284
